segment_age,young_high_vg,exposure,true,glm,gbm,glm_vs_true,gbm_vs_true,gbm_vs_glm
17,0,264.26320000000004,720.2153686000291,619.5577844001534,673.7701150591226,0.8602396052787151,0.9355119932650315,1.0875016536374518
17,1,61.5665,1941.4179146731203,1529.4905055453985,1325.423954806625,0.7878213618951391,0.682709242965747,0.8665787397836735
18,0,264.2887,644.6860879672855,593.2031213246415,675.9849074622866,0.9201425816322928,1.0485489295940715,1.1395504898099502
18,1,63.9989,1597.0899412766698,1348.769216266729,1223.7464005066865,0.8445167560122255,0.7662351185609856,0.9073059984968412
19,0,288.32950000000005,534.142575032321,545.5663840575256,570.4570088280917,1.0213871905352487,1.067986405677498,1.0456234575624834
19,1,46.0772,1368.993477132614,1276.477729845441,1062.9810098400815,0.9324206076708639,0.7764690099667368,0.8327454408223712
20,0,282.2007,466.1460495037433,523.5267615221319,540.6880434476038,1.123095995513586,1.1599112424597775,1.0327801426532166
20,1,49.8049,1233.0930374673767,1253.7625397842187,1037.729969581303,1.0167623218109274,0.8415666442433852,0.8276925946119779
21,0,262.09799999999996,417.8802556199723,516.8061083535923,419.55190659461465,1.2367325361827695,1.004000310979427,0.811816849323233
21,1,53.793299999999995,1155.288337394324,1291.1506657567782,839.3890170609905,1.1176003634459626,0.7265623566790059,0.6501092702213819
22,0,279.2017,379.6553538347308,385.84853908290387,409.9752993295996,1.0163126508967104,1.0798617619602104,1.062529095753585
22,1,50.869,986.9442725333927,919.845643905897,778.6306808563577,0.93201376157211,0.7889307456617447,0.8464797175644547
23,0,307.78470000000004,356.53423403200804,391.1838078342708,413.92401636271626,1.0971844229666654,1.1609656993711186,1.0581317735372104
23,1,39.164199999999994,875.3847319264945,871.8452455668942,747.412560422696,0.9959566505668761,0.8538103683597896,0.8572766373655119
24,0,281.5754,308.271323822351,361.8601986143868,381.6133171862849,1.1738367167194497,1.2379137717207815,1.054587707207191
24,1,50.6793,788.0448202189158,852.0702225020403,714.7439566413361,1.0812458893712904,0.9069838901330295,0.8388322203568435
25-29,0,2703.262,300.72570341908,301.96787934301324,304.37407485233075,1.0041305944580408,1.0121318909284136,1.0079683823145449
30-39,0,4748.1674,203.77097455279636,199.89738378455763,204.17624731526126,0.980990468457346,1.0019888640340182,1.0214053003080583
40-49,0,6604.401900000001,165.5266483972412,164.21510704498928,165.26796661953784,0.9920765546517659,0.9984372197455328,1.0064114659941739
50-59,0,5549.891500000001,155.05368578006576,144.56446716044127,149.1056672714608,0.9323510526895644,0.9616389737613728,1.0314129758177684
60-69,0,2912.744,153.9331330211062,150.74856859602951,145.95745834704908,0.9793120274850767,0.9481874076261182,0.9682178723579162
70+,0,1212.1668,194.84335705977975,193.45540519497814,188.47824931809757,0.9928765759030944,0.9673321798713963,0.9742723348987626
